ID;age_months;age_years;Gender;Condition;Manipulation_check_ch1;Manipulation_check_ch2;Within1_ch1;Within1_ch2;Choice_within1;Within2_ch1;Within2_ch2;Choice_within2;Between1_ch1;Between1_ch2;Choice_between1;Between2_ch1;Between2_ch2;Choice_between2;Liking_ch1;Liking_ch2;Be_friend;within1;within2;between1;between2
53;77;6;1;2;5;1;5;3;1;5;2;1;6;4;1;2;2;1;3;4;1;5;2,5;4;3
32;78;6;1;2;5;4;5;2;1;5;1;1;4;4;2;4;4;1;5;4;2;5;1,5;4;4
60;78;6;1;2;5;3;5;3;1;5;2;1;4;4;2;4;4;2;4;5;2;5;2,5;4;4
3;80;7;2;2;5;3;5;3;1;5;3;1;6;4;1;2;2;2;4;4;1;5;3;4;3
59;80;7;2;2;5;4;5;2;1;5;3;1;3;3;1;4;4;1;3;5;2;5;2,5;3,5;3,5
54;81;7;2;2;5;4;5;3;2;5;2;1;2;2;2;4;4;1;2;4;1;5;2,5;3;3
39;83;7;2;2;5;4;5;3;1;5;1;1;6;2;2;1;1;2;4;5;2;5;2;3,5;1,5
22;84;7;1;2;5;3;5;2;1;4;2;1;4;4;2;2;2;2;4;2;2;4,5;2;3;3
73;85;7;1;2;5;2;4;3;2;4;3;2;6;2;2;2;2;2;4;3;1;4;3;4;2
36;86;7;2;2;5;3;5;3;1;4;2;1;2;2;1;2;2;1;3;4;1;4,5;2,5;2;2
48;86;7;1;2;5;4;5;3;1;5;3;1;2;2;1;2;2;2;4;4;1;5;3;2;2
12;87;7;1;2;5;5;5;4;1;5;2;1;5;5;1;4;4;1;3;3;2;5;3;4,5;4,5
13;89;8;2;2;5;2;5;4;1;5;3;1;2;2;1;2;2;1;3;4;2;5;3,5;2;2
31;92;8;2;2;5;4;5;2;1;5;2;1;4;4;1;2;2;2;2;4;1;5;2;3;3
89;93;7;1;2;5;1;5;3;1;5;3;1;5;1;1;5;2;5;5;4;1;5;3;5;1,5
29;94;8;2;2;4;2;4;2;1;6;1;1;3;4;1;3;2;2;4;5;2;5;1,5;3;3
81;98;8;1;2;5;3;5;2;1;5;2;1;3;3;2;3;3;2;5;3;1;5;2;3;3
